日期,时间段,气温,风向编码,风力编码,降水强度,天气_多云,天气_晴,天气_阴,天气_雨,天气_雪,天气_雾霾沙尘
2011/7/26,1,26.0,8,1,1,0,0,0,1,0,0
2011/7/27,0,36.0,8,1,0,0,0,1,0,0,0
2011/7/27,1,25.0,8,1,0,0,1,0,0,0,0
2011/7/28,0,35.0,8,1,0,1,0,0,0,0,0
2011/7/28,1,22.0,6,2,2,0,0,0,1,0,0
2011/7/29,0,29.0,8,1,2,0,0,0,1,0,0
2011/7/29,1,21.0,8,1,1,0,0,0,1,0,0
2011/7/30,0,32.0,8,1,0,1,0,0,0,0,0
2011/7/30,1,22.0,8,1,0,1,0,0,0,0,0
2011/7/31,0,34.0,8,1,0,1,0,0,0,0,0
2011/7/31,1,22.0,8,1,0,1,0,0,0,0,0
2011/8/1,0,23.0,8,1,1,0,0,0,1,0,0
2011/8/1,1,18.0,8,1,0,0,0,1,0,0,0
2011/8/2,0,28.0,8,1,0,0,0,1,0,0,0
2011/8/2,1,20.0,8,1,0,1,0,0,0,0,0
2011/8/3,0,29.0,8,1,0,1,0,0,0,0,0
2011/8/3,1,21.0,8,1,0,0,0,1,0,0,0
2011/8/4,0,24.0,8,1,2,0,0,0,1,0,0
2011/8/4,1,19.0,8,1,2,0,0,0,1,0,0
2011/8/5,0,26.0,8,1,1,0,0,0,1,0,0
2011/8/5,1,19.0,8,1,0,0,0,1,0,0,0
2011/8/6,0,30.0,8,1,0,1,0,0,0,0,0
2011/8/6,1,21.0,8,1,0,0,1,0,0,0,0
2011/8/7,0,33.0,8,1,0,0,1,0,0,0,0
2011/8/7,1,21.0,8,1,0,0,1,0,0,0,0
2011/8/8,0,35.0,8,1,0,0,1,0,0,0,0
2011/8/8,1,24.0,8,1,0,0,1,0,0,0,0
2011/8/9,0,35.0,8,1,0,1,0,0,0,0,0
2011/8/9,1,24.0,8,1,0,1,0,0,0,0,0
2011/8/10,0,34.0,8,1,0,1,0,0,0,0,0
