SO2,NO2,PM10,CO,O31小时,O38小时,PM2.5
61.0,24.0,108.0,80.0,20.0,27.0,137.0
71.0,25.0,188.0,88.0,10.0,11.0,275.0
99.0,33.0,500.0,100.0,24.0,27.0,500.0
104.0,38.0,173.0,90.0,18.0,20.0,283.0
76.0,37.0,107.0,87.0,10.0,13.0,163.0
94.0,38.0,134.0,91.0,10.0,12.0,195.0
99.0,53.0,203.0,103.0,9.0,11.0,309.0
78.0,43.0,101.0,97.0,19.0,21.0,138.0
45.0,43.0,119.0,102.0,5.0,7.0,170.0
37.0,50.0,185.0,103.0,5.0,7.0,251.0
75.0,80.0,410.0,107.0,5.0,7.0,359.0
72.0,93.0,451.0,108.0,6.0,8.0,413.0
71.0,65.0,370.0,101.0,11.0,12.0,312.0
105.0,87.0,500.0,102.0,7.0,10.0,389.0
104.0,93.0,332.0,105.0,10.0,12.0,331.0
104.0,74.0,205.0,103.0,10.0,11.0,261.0
103.0,83.0,194.0,103.0,8.0,9.0,223.0
70.0,60.0,129.0,95.0,16.0,19.0,135.0
61.0,50.0,118.0,91.0,18.0,20.0,124.0
49.0,30.0,84.0,59.0,24.0,32.0,49.0
85.0,64.0,178.0,98.0,15.0,18.0,229.0
99.0,63.0,124.0,87.0,13.0,14.0,147.0
61.0,34.0,87.0,63.0,19.0,24.0,74.0
97.0,55.0,292.0,102.0,11.0,12.0,271.0
116.0,101.0,500.0,113.0,10.0,12.0,402.0
123.0,79.0,328.0,106.0,8.0,10.0,273.0
115.0,70.0,199.0,102.0,8.0,9.0,204.0
101.0,63.0,178.0,92.0,15.0,16.0,153.0
70.0,44.0,141.0,42.0,20.0,22.0,83.0
114.0,97.0,484.0,99.0,11.0,15.0,386.0
90.0,69.0,180.0,66.0,28.0,25.0,212.0
101.0,88.0,290.0,81.0,4.0,5.0,288.0
102.0,85.0,300.0,81.0,27.55747692228135,32.67442738490999,282.0
111.0,101.0,434.0,100.0,4.0,5.0,358.0
110.0,102.0,344.0,112.0,7.0,7.0,309.0
107.0,77.0,293.0,112.0,3.0,4.0,288.0
121.0,78.0,184.0,109.0,3.0,4.0,228.0
122.0,52.0,124.0,102.0,12.0,5.0,149.0
85.0,33.0,69.0,77.0,50.0,19.0,42.0
88.0,35.0,103.0,84.0,33.0,11.0,77.0
97.0,64.0,148.0,104.0,47.0,12.0,127.0
24.0,27.0,168.0,35.0,72.0,92.0,124.0
25.0,94.04401322428386,170.0,38.0,49.0,76.0,114.0
15.0,54.86406533528193,160.0,46.0,15.485217690411382,43.0,166.0
32.47763047159002,34.0,84.77600809727124,45.0,16.0,23.0,119.0
49.918990748948346,52.0,150.08846479263494,65.0,27.0,35.0,195.0
9.0,72.0,243.0,79.0,65.0,86.0,142.0
9.0,60.0,85.8724788702684,66.0,42.0,53.0,69.0
13.0,87.0,56.36950808546658,94.0,45.0,64.0,82.0
15.0,77.0,284.6912541869373,23.094798219462987,37.0,49.0,67.0
16.0,80.0,288.51187135020507,25.228050470354567,39.0,46.0,74.0
19.0,80.0,114.0,104.0,37.0,45.0,75.0
28.0,80.0,130.0,104.0,34.0,40.0,88.0
24.0,59.0,117.0,101.0,28.0,42.0,73.0
22.0,43.0,96.0,91.0,30.0,43.0,55.0
20.0,54.0,193.0,101.0,26.0,38.0,107.0
24.0,69.0,145.0,101.0,30.0,35.0,105.0
22.0,59.0,114.0,91.0,33.0,37.0,85.0
21.0,38.0,130.0,83.0,20.0,29.0,70.0
23.0,62.0,139.0,97.0,21.0,20.0,168.0
25.0,82.0,114.0,101.0,49.0,64.0,168.0
26.0,80.0,164.0,97.0,12.0,14.0,128.0
24.0,101.0,199.0,103.0,41.0,46.0,245.0
24.0,78.0,176.0,97.0,39.0,41.0,235.0
24.0,101.0,226.0,96.0,39.0,46.0,220.0
24.0,78.0,199.0,89.0,22.0,29.0,188.0
26.0,103.0,194.0,103.0,37.0,36.0,137.0
27.0,101.0,158.0,103.0,28.0,31.0,110.0
26.0,72.0,98.49386913676872,83.0,35.0,41.0,144.0
29.0,73.0,77.24384113941686,73.0,11.0,27.067792486104477,129.0
26.0,52.0,260.0,64.0,32.0,43.0,115.0
26.0,89.0,208.0,79.0,42.0,47.0,204.0
28.0,105.0,174.0,91.0,27.0,28.0,178.0
29.0,92.0,185.0,81.0,15.0,18.0,173.0
